2012,2011,Company,Country,Sector,value,turnover,netincome,totalasset,employees,price,P/E,dividend,Year End
210,180,Nordea Bank,Sweden,Banks,"36,689.0",N/R,"3,423.0","927,509.0","33,068",9.1,10.7,3.6,31/12/2011
211,211,Time Warner,US,Media,"36,458.5","28,974.0","2,871.0","67,801.0","34,000",37.8,14,2.5,31/12/2011
212,204,Goldcorp,Canada,Mining,"36,437.7","5,182.9","1,818.2","29,373.9",,45,19.8,0.8,31/12/2011
213,139,Canadian Natural Resources,Canada,Oil & gas producers,"36,397.2","13,521.5","2,591.2","46,350.9","5,276",33.1,14,1.1,31/12/2011
214,217,Wesfarmers,Australia,General retailers,"36,121.4","58,427.6","2,060.0","43,276.5","198,592",31.1,17.5,5.2,30/06/2011
215,142,Freeport-McMoran Copper & Gold,US,Industrial metals & mining,"36,075.6","21,427.0","4,560.0","32,070.0","31,800",38,8,3.9,31/12/2011
216,260,National Grid,UK,"Gas, water & multiutilities","35,918.5","22,416.6","3,459.9","74,358.8","27,089",10.1,9.9,5.8,31/03/2011
217,174,Schneider Electric,France,Electronic & electrical equipment,"35,811.5","28,998.8","2,357.5","44,614.1","140,491",65.2,14.8,3.4,31/12/2011
218,367,Priceline.com,US,Travel & leisure,"35,730.7","4,355.6","1,056.4","3,859.6","5,000",717.5,34.8,,31/12/2011
219,398,Hermes International,France,Personal goods,"35,517.8","3,680.3",769.5,"4,205.9","9,081",336.4,45.8,2.7,31/12/2011
220,175,Santander Brasil,Brazil,Banks,"34,997.8",N/R,"4,158.9","207,039.1","54,602",9.2,,0,31/12/2011
221,232,Takeda Pharmaceutical,Japan,Pharmaceuticals & biotechnology,"34,975.8","17,075.2","2,981.9","33,200.9","18,498",44.3,11.7,4.9,31/03/2011
222,154,Norilsk Nickel,Russia,Industrial metals & mining,"34,959.1","12,728.3","3,285.9","23,823.0",,183.4,9.8,3.2,31/12/2010
223,249,Canadian National Railway,Canada,Industrial transportation,"34,924.7","8,851.0","2,408.8","25,515.6","23,230",79.3,14.9,1.6,31/12/2011
224,280,ITC,India,Tobacco,"34,821.8","5,000.4","1,126.5","5,913.8","24,027",4.5,29.7,1.3,31/03/2011
225,149,Credit Suisse Group,Switzerland,Banks,"34,245.4",N/R,1978.7,1108984.9,"49,700",28.5,19.4,2.8,31/12/2011
226,293,Praxair,US,Chemicals,"34,219.4","11,252.0","1,672.0","16,356.0","26,184",114.6,21,1.7,31/12/2011
227,302,Jardine Strategic,Singapore,General industrials,"34,171.2","31,102.1","3,949.8","56,003.0",,30.5,,0.7,31/12/2011
228,264,PNC Financial Services,US,Banks,"34,022.9",N/R,"3,044.0","271,205.0","51,891",64.5,11.4,1.8,31/12/2011
229,342,Celgene,US,Pharmaceuticals & biotechnology,"34,016.6","4,842.1","1,318.2","9,972.5","4,460",77.5,27.2,,31/12/2011
230,121,Enel,Italy,Electricity,"33,959.5","100,483.4","5,373.1","219,955.2","75,360",3.6,6.3,9.4,31/12/2011
231,148,Iberdrola,Spain,Electricity,"33,859.0","40,995.0","3,632.8","119,637.0","31,885",5.7,9.3,7.2,31/12/2011
232,188,Ericsson,Sweden,Technology hardware & equipment,"33,779.7","32,896.7","1,767.8","38,754.7","104,525",10.3,18.8,3.5,31/12/2011
233,262,National Oilwell Varco,US,Oil equipment & services,"33,713.1","14,650.0","1,994.0","25,248.0","49,975",79.5,16.9,0.6,31/12/2011
234,,Telefonica Brasil,Brazil,Fixed line telecommunications,"33,701.8","15,635.4","2,337.8","34,386.1",,31,12.3,9.3,31/12/2011
235,383,EADS,France,Aerospace & defence,"33,593.9","63,637.5","1,338.1","109,024.9","133,115",40.9,24.8,1.4,31/12/2011
236,230,DirecTV,US,Media,"33,383.9","27,226.0","2,609.0","18,213.0","16,200",49.3,14.2,,31/12/2011
237,332,Exelon,US,Electricity,"33,383.4","18,924.0","2,495.0","55,092.0","19,267",39.2,10.5,5.4,31/12/2011
238,292,Baxter International,US,Health care equipment & services,"33,257.3","13,895.0","2,224.0","17,950.0","48,500",59.8,15.4,2.1,31/12/2011
239,218,MTN Group,South Africa,Mobile telecommunications,"33,161.0","15,066.1","2,565.4","22,423.8","17,820",17.6,,5.3,31/12/2011
240,319,Jardine Matheson,Hong Kong,General industrials,"33,117.2","38,032.0","3,454.9","58,116.0",,50,,2.5,31/12/2011
241,194,A P Moller - Maersk,Denmark,Industrial transportation,"33,093.6","56,147.5","2,644.3","69,602.6","117,080","7,711.4",12.7,2.3,31/12/2011
242,258,Woolworths,Australia,Food & drug retailers,"33,020.7","58,030.9","2,276.5","22,062.2","190,000",26.9,14.4,4.9,26/06/2011
243,364,International Power,UK,"Gas, water & multiutilities","32,969.0","21,805.7","1,864.0","62,578.2","11,658",6.5,17,2.5,31/12/2011
244,184,Softbank,Japan,Mobile telecommunications,"32,937.7","36,145.8","2,282.2","54,695.4","21,799",29.7,14.1,0.2,31/03/2011
245,288,Al Rajhi Bank,Saudi Arabia,Banks,"32,796.2",N/R,"1,967.5","58,884.3","10,261",21.9,16.7,4,31/12/2011
246,263,PTT,Thailand,Oil & gas producers,"32,775.6","76,924.3","3,335.8","43,816.4",,11.5,9.8,3,31/12/2011
247,381,Yum! Brands,US,Travel & leisure,"32,772.3","12,626.0","1,319.0","8,285.0","466,000",71.2,26,1.5,31/12/2011
248,343,Astra International,Indonesia,Automobiles & parts,"32,740.1","17,882.0","1,956.4","16,732.4","112,003",8.1,16.9,0.9,31/12/2011
249,297,Richemont,Switzerland,Personal goods,"32,687.6","9,952.7","1,574.1","13,235.1","21,387",62.6,21.8,0.8,31/03/2011
250,195,Deere,US,Industrial engineering,"32,507.7","32,012.5","2,799.9","45,348.8","61,300",80.9,12.2,1.9,31/10/2011
251,198,Sun Hung Kai Properties,Hong Kong,Real estate investment & services,"32,504.5",N/R,"6,180.0","53,091.7","35,000",12.4,5.2,3.5,30/06/2011
252,353,Kweichow Moutai,China,Beverages,"32,467.4","2,622.2","1,392.3","5,465.2","11,456",31.3,23.3,2,31/12/2011
253,291,Syngenta,Switzerland,Chemicals,"32,375.9","12,429.7","1,498.0","16,311.0","26,300",345.3,21.1,2.5,31/12/2011
254,382,Capital One Financial,US,Financial services,"32,335.3",N/R,"3,147.0","206,019.0","31,542",55.7,8.2,0.4,31/12/2011
255,191,Infosys Technologies,India,Software & computer services,"32,147.6","6,174.0","1,531.8","6,933.7","130,820",56.3,21,1.2,31/03/2011
256,278,Heineken,Netherlands,Beverages,"31,966.0","22,180.1","1,852.3","34,524.7","64,252",55.5,17.5,1.9,31/12/2011
257,162,ING,Netherlands,Life insurance,"31,863.2",N/R,7468.9,1645803.3,"97,043",8.3,7.4,,31/12/2011
258,,Sands China,Hong Kong,Travel & leisure,"31,465.5","4,889.1","1,135.0","10,127.7",,3.9,,1.8,31/12/2011
259,227,Sasol,South Africa,Oil & gas producers,"31,104.2","21,033.5","2,923.0","26,118.5","33,708",48.3,9.9,4,30/06/2011
260,334,BCE,Canada,Fixed line telecommunications,"30,994.4","19,114.7","2,294.1","38,330.3","55,250",40,14.1,5,31/12/2011
261,225,Volvo,Sweden,Industrial engineering,"30,907.3","44,993.9","2,573.4","49,348.7","98,162",14.5,11.4,3,31/12/2011
262,254,CIBC,Canada,Banks,"30,724.9",N/R,"3,079.0","353,429.0","42,239",76.3,10.4,4.6,31/10/2011
263,176,Halliburton,US,Oil equipment & services,"30,633.8","24,829.0","2,839.0","23,677.0","68,000",33.2,10.8,1.1,31/12/2011
264,337,Linde,Germany,Chemicals,"30,633.1","17,858.9","1,520.7","36,978.1","50,417",179.2,20.1,1.8,31/12/2011
